horizon,mse,rmse,mae,mape,mdape,smape,coverage,dias_no_futuro,data_no_futuro
9 days,44.507185251267664,6.671370567677054,4.758747091015708,0.05341890730710424,0.036615146696383175,0.05464025419079912,0.5,9,2024-04-17
10 days,45.69436018316175,6.7597603643296225,4.894662006528169,0.05526989212491433,0.039163349757323836,0.05655002685771625,0.47392290249433106,10,2024-04-18
11 days,43.70548926538961,6.611012726155472,4.7843835636760454,0.05446911195533917,0.03739301213444556,0.055512821671602215,0.48412698412698413,11,2024-04-19
12 days,44.14695065485861,6.644317169947459,4.892448767042822,0.055961878529657165,0.040606255540160154,0.05704997737099388,0.4493284493284493,12,2024-04-20
13 days,43.156835313439416,6.569386220450082,4.856494581452074,0.055501118978739716,0.04021531102629718,0.05664306191154715,0.44400352733686066,13,2024-04-21
14 days,42.30383604111176,6.504139915554689,5.021009780410592,0.057936970729410155,0.04477270743800221,0.05908280760919675,0.3934240362811791,14,2024-04-22
15 days,41.87394059172057,6.47100769522959,5.321286547183384,0.06243417703156563,0.060952801676693855,0.06364115237051503,0.32936507936507936,15,2024-04-23
16 days,44.30240549102585,6.656005220177178,5.46570606848669,0.06404427520319346,0.060952801676693855,0.06537838103102243,0.326007326007326,16,2024-04-24
17 days,45.05663951531571,6.71242426514562,5.504114556728571,0.06480035184087918,0.06137864237644196,0.06600292900066582,0.3276643990929705,17,2024-04-25
18 days,45.765468802867105,6.765018019404464,5.547910077514677,0.06539666129510746,0.05908262770009786,0.06638911689931863,0.3401360544217687,18,2024-04-26
19 days,51.91412316548802,7.205145603350984,5.820634172726966,0.06798233394292809,0.06088782206120574,0.06902269392808698,0.33882783882783885,19,2024-04-27
20 days,59.45206937268054,7.710516803216276,6.179039190768321,0.07107157589959297,0.06723246787229585,0.07213531406771449,0.3276643990929705,20,2024-04-28
21 days,71.55302812358681,8.458902300156138,6.696183239678262,0.07579353129392129,0.07283477606546301,0.07705486655885277,0.3275132275132275,21,2024-04-29
22 days,81.39169833302967,9.02173477403485,7.115386735641673,0.07962382508110014,0.07313369568622394,0.0812889883154703,0.32380952380952377,22,2024-04-30
23 days,81.5610210979483,9.031114056302705,6.995211465410518,0.0780743498488578,0.06921697763844711,0.07949056719442874,0.38253968253968257,23,2024-05-01
24 days,80.74038412420015,8.985565320234457,6.920625368566511,0.07697220253044468,0.0634021792614746,0.07803701674000763,0.4181547619047619,24,2024-05-02
25 days,86.98093660384498,9.32635709180412,7.230552751426008,0.08012183829367758,0.06507678935764068,0.08122304303108947,0.41496598639455784,25,2024-05-03
26 days,88.69356079664327,9.417725882432727,7.305084623662739,0.08030625594208642,0.06697121706829287,0.08141606356488601,0.4246031746031746,26,2024-05-04
27 days,89.99900694775975,9.486780641912183,7.394688528103475,0.08093149238906702,0.0698757930442549,0.08212349930148916,0.40476190476190477,27,2024-05-05
28 days,94.57425333561302,9.724929477153704,7.625675191406285,0.08369742647831342,0.07273595383316606,0.084716582750367,0.4017857142857143,28,2024-05-06
29 days,94.28152232059531,9.709867265858751,7.613810260605094,0.08424772904365249,0.07311772985405832,0.08546744805356596,0.41025641025641024,29,2024-05-07
30 days,93.06556276715423,9.647049433228496,7.54564544136596,0.08478416841643685,0.07273595383316606,0.08606785356190218,0.4097222222222222,30,2024-05-08
31 days,93.49549285874004,9.669306741371898,7.555670166460952,0.08565194367381626,0.07511324241877827,0.086804062994217,0.41025641025641024,31,2024-05-09
32 days,92.86357151060574,9.636574677270225,7.555896700781116,0.0865287454792636,0.07237153678540266,0.08738320619190873,0.4126984126984127,32,2024-05-10
